Part,Value,Device,PDF
IC1,LM2596S (5V),TO-263,http://www.ti.com/lit/ds/symlink/lm2596.pdf
IC2,REG1117 (3.3V),SOT-223,http://www.ti.com/lit/ds/symlink/reg1117.pdf
IC3,TCAN4420DR,SOIC-8,http://www.ti.com/lit/ds/symlink/tcan4420.pdf
IC4,STM32F103RBT6,LQFP48,https://www.st.com/resource/en/datasheet/cd00161566.pdf
IC5,,,
IC6,ULN2003AD,SOIC,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
IC7,LM2901,SOIC,http://www.ti.com/lit/ds/symlink/lm2901.pdf
IC8,TD2822D/LM386,SOIC,https://www.st.com/resource/en/datasheet/cd00000134.pdf
IC9,MAX6326_R22-T (EHAA),SOT23,https://datasheets.maximintegrated.com/en/ds/MAX6326-MAX6348.pdf
Q1,8Mhz,FS8.000P,https://media.digikey.com/pdf/Data%20Sheets/Fox%20Electronics%20PDFs/FOXSDLF_080R-20.pdf
LED_ALIVE,green,'0603,
LED_PWR,red,'0603,
L1,1uH,'0603,
L2,47uH,1210,
L3,10uH,'0603,
L4,10uH,'0603,
R1,220R,'0603,
R2,3k3,'0603,
R3,3k3,'0603,
R4,3k3,'0603,
R5,4k7,'0603,
R6,3k3,'0603,
R7,3k3,'0603,
R8,3k3,'0603,
R9,3k3,'0603,
R10,1k2,'0603,
R12,120R/510R,'0603,
R12,1k2,'0603,
R13,1k2,'0603,
R14,10k,'0603,
R15,510R,'0603,
R16,510R,'0603,
R17,510R,'0603,
R18,510R,'0603,
R19,1k2,'0603,
R20,10k,'0603,
R21,10k,'0603,
R22,10k,'0603,
R23,1k2,'0603,
R24,10k,'0603,
R25,10k,'0603,
R26,1k2,'0603,
R27,1k2,'0603,
R28,510R,'0603,
R29,1k2,'0603,
R30,10k,'0603,
R31,10k,'0603,
R32,510R,'0603,
R33,510R,'0603,
R34,10k,'0603,
R35,3k3,'0603,
R36,510R,'0603,
R37,10k,'0603,
R38,10k,'0603,
R39,10k,'0603,
R40,510R,'0603,
R41,10k,'0603,
R42,3k3,'0603,
R43,10k,'0603,
R44,3k3,'0603,
R45,10k,'0603,
R46,10k,'0603,
R47,10k,'0603,
R48,3k3,'0603,
R49,3k3,'0603,
R50,4k7,'0603,
C1,10u,'0603,
C3,1u,'0603,
C4,1u,'0603,
C5,1u,'0603,
C6,1u,'0603,
C7,1u,'0603,
C8,680u (25v),2220,
C9,1u,'0603,
C10,1u,'0603,
C11,1nF,'0603,
C12,1nF,'0603,
C13,1u,'0603,
C14,1u,'0603,
C15,1u,'0603,
C16,1u,'0603,
C17,1u,'0603,
C18,1nF,'0603,
C19,1u,'0603,
C20,470u (6.3v),1206,
C21,1u,'0603,
C22,10u,'0603,
C23,1u,'0603,
C24,1u,'0603,
C25,1u,'0603,
C26,20p,'0603,
C27,20p,'0603,
C28,1u,'0603,
C29,1u,'0603,
C30,1u,'0603,
C31,1u,'0603,
C32,1u,'0603,
C33,1u,'0603,
C34,22n,'0603,
C35,22n,'0603,
C36,22n,'0603,
C37,22n,'0603,
C38,1nF,'0603,
C39,1u,'0603,
C40,1u,'0603,
C41,1nF,'0603,
C42,1nF,'0603,
C43,1u,'0603,
C44,22n,'0603,
C45,470u (6.3v),1206,
C46,10u,'0603,
C47,22n,'0603,
D1,SS24FL,SOD-123F,
D2,SS24FL,SOD-123F,
D3,SBR1A40S3-7,SOD-323,https://www.diodes.com/assets/Datasheets/SBR1A40S3.pdf
JP1,10pin,,
JP2,26pin,,
JP3,14pin,,
JP4-JP5,2pin,,
JP6,10pin,,
JP7,16pin,,
JP8-JP9,2pin,,
